"year","STATE","DISTRICT","FEC_ID","FIRST_NAME","LAST_NAME","INCUMBENT_IND","PARTY","candidate_votes","total_votes","runoff"
2004,"CO","06","H4CO06061","Joanna L.","Conti",0,"D",139870,357741,FALSE
2004,"CO","06","H8CO06054","Tom","Tancredo",1,"R",212778,357741,FALSE
2004,"CO","07","H2CO07048","Dave","Thomas",0,"D",106026,247764,FALSE
2004,"CO","07","H2CO07063","Bob","Beauprez",1,"R",135571,247764,FALSE
2004,"CT","01","H4CT01052","John M.","Halstead",0,"R",73601,272403,FALSE
2004,"CT","01","H8CT01046","John B.","Larson",1,"D",198802,272403,FALSE
2004,"CT","02","H0CT02124","Rob","Simmons",1,"R",166412,307078,FALSE
2004,"CT","02","H2CT02054","Jim","Sullivan",0,"D",140536,307078,FALSE
2004,"CT","03","H0CT03072","Rosa L.","DeLauro",1,"D",200638,276980,FALSE
2004,"CT","03","H2CT03052","Richter","Elser",0,"R",69160,276980,FALSE
2004,"CT","04","H4CT04098","Diane","Farrell",0,"D",138333,290830,FALSE
2004,"CT","04","H8CT04057","Christopher","Shays",1,"R",152493,290830,FALSE
2004,"CT","05","H2CT06014","Nancy L.","Johnson",1,"R",168268,281447,FALSE
2004,"CT","05","H4CT05095","Theresa B.","Gerratana",0,"D",107438,281447,FALSE
2004,"DE","01","H2DE00072","Michael N.","Castle",1,"R",245978,356045,FALSE
2004,"DE","01","H4DE00037","Paul","Donnelly",0,"D",105716,356045,FALSE
2004,"FL","01","H0FL00015","Mark S.","Coutu",0,"D",72506,309110,FALSE
2004,"FL","01","H2FL01100","Jeff","Miller",1,"R",236604,309110,FALSE
2004,"FL","02","H4FL02054","Bev","Kilmer",0,"R",125399,326987,FALSE
2004,"FL","02","H6FL00046","Allen","Boyd",1,"D",201577,326987,FALSE
2004,"FL","03","H2FL03056","Corrine","Brown",1,"D",172833,174156,FALSE
2004,"FL","04","H0FL04066","Ander","Crenshaw",1,"R",256157,257327,FALSE
2004,"FL","05","H2FL05127","Virginia ""Ginny""","Brown-Waite",1,"R",240315,364488,FALSE
2004,"FL","05","H4FL05057","Robert G.","Whittel",0,"D",124140,364488,FALSE
2004,"FL","06","H2FL06091","David E.","Bruderly",0,"D",116680,327853,FALSE
2004,"FL","06","H8FL06056","Clifford (Cliff) B.","Stearns",1,"R",211137,327853,FALSE
2004,"FL","07","H2FL08055","John L.","Mica",1,"R",1,1,FALSE
2004,"FL","08","H0FL08042","Ric","Keller",1,"R",172232,284575,FALSE
2004,"FL","08","H4FL08069","Stephen","Murray",0,"D",112343,284575,FALSE
2004,"FL","09","H2FL09012","Michael","Bilirakis",1,"R",284035,284278,FALSE
2004,"FL","10","H4FL10040","Robert D. ""Bob""","Derry",0,"D",91658,298833,FALSE
2004,"FL","10","H6FL06035","C.W. Bill","Young",1,"R",207175,298833,FALSE
2004,"FL","11","H6FL00087","Jim","Davis",1,"D",191780,223481,FALSE
2004,"FL","12","H0FL12051","Adam H.","Putnam",1,"R",179204,276169,FALSE
2004,"FL","12","H4FL12038","Bob","Hagenmaier",0,"D",96965,276169,FALSE
2004,"FL","13","H2FL13113","Katherine","Harris",1,"R",190477,344438,FALSE
2004,"FL","13","H2FL13139","Jan","Schneider",0,"D",153961,344438,FALSE
2004,"FL","14","H4FL14059","Connie","Mack",0,"R",226662,335334,FALSE
2004,"FL","14","H4FL14091","Robert M.","Neeld",0,"D",108672,335334,FALSE
2004,"FL","15","H4FL15114","Dave","Weldon",1,"R",210388,321926,FALSE
2004,"FL","15","H4FL15148","Simon","Pristoop",0,"D",111538,321926,FALSE
2004,"FL","16","H4FL16021","Mark","Foley",1,"R",215563,316810,FALSE
2004,"FL","16","H4FL16088","Jeff","Fisher",0,"D",101247,316810,FALSE
2004,"FL","17","H2FL17056","Kendrick B.","Meek",1,"D",178690,179424,FALSE
2004,"FL","18","H0FL18025","Ileana","Ros-Lehtinen",1,"R",143647,221928,FALSE
2004,"FL","18","H4FL18035","Sam","Sheldon",0,"D",78281,221928,FALSE
2004,"FL","19","H6FL19038","Robert","Wexler",1,"D",1,1,FALSE
2004,"FL","20","H4FL20023","Debbie Wasserman","Schultz",0,"D",191195,272408,FALSE
2004,"FL","20","H4FL20031","Margaret","Hostetter",0,"R",81213,272408,FALSE
2004,"FL","21","H2FL19037","Lincoln","Diaz-Balart",1,"R",146507,201243,FALSE
2004,"FL","22","H0FL12010","Clay","Shaw",1,"R",192581,306726,FALSE
2004,"FL","22","H4FL22078","Robin","Rorapaugh",0,"D",108258,306726,FALSE
2004,"FL","23","H2FL23021","Alcee L.","Hastings",1,"D",1,1,FALSE
2004,"FL","24","H2FL00250","Tom","Feeney",1,"R",1,1,FALSE
2004,"FL","25","H2FL25018","Mario","Diaz-Balart",1,"R",1,1,FALSE
2004,"GA","01","H2GA01157","Jack","Kingston",1,"R",188347,188347,FALSE
2004,"GA","02","H2GA02031","Sanford","Bishop",1,"D",129984,194629,FALSE
2004,"GA","02","H4GA02045","Dave","Eversman",0,"R",64645,194629,FALSE
2004,"GA","03","H0GA08032","Jim","Marshall",1,"D",136273,216708,FALSE
2004,"GA","03","H2GA03104","Calder","Clay",0,"R",80435,216708,FALSE
2004,"GA","04","H2GA04102","Catherine","Davis",0,"R",89509,246970,FALSE
2004,"GA","04","H2GA11016","Cynthia","McKinney",0,"D",157461,246970,FALSE
2004,"GA","05","H6GA05217","John","Lewis",1,"D",201773,201773,FALSE
2004,"GA","06","H4GA06087","Tom","Price",0,"R",267542,267619,FALSE
2004,"GA","07","H0GA04023","John","Linder",1,"R",258982,258982,FALSE
2004,"GA","08","H4GA08067","Lynn","Westmoreland",0,"R",227524,301156,FALSE
2004,"GA","08","H4GA08091","Silvia","Delamar",0,"D",73632,301156,FALSE
2004,"GA","09","H4GA09032","Bob","Ellis",0,"D",68462,266331,FALSE
2004,"GA","09","H4GA10022","Charlie","Norwood",1,"R",197869,266331,FALSE
2004,"GA","10","H2GA09036","Nathan","Deal",1,"R",219136,219136,FALSE
2004,"GA","11","H2GA11149","Phil","Gingrey",1,"R",120696,210287,FALSE
2004,"GA","11","H4GA11038","Rick","Crawford",0,"D",89591,210287,FALSE
2004,"GA","12","H2GA12097","Max","Burns",1,"R",105132,218168,FALSE
2004,"GA","12","H4GA12010","John","Barrow",0,"D",113036,218168,FALSE
2004,"GA","13","H2GA13012","David","Scott",1,"D",170657,170657,FALSE
2004,"HI","01","H4HI01076","Dalton","Tanonaka",0,"R",69371,204181,FALSE
2004,"HI","01","H6HI01121","Neil","Abercrombie",1,"D",128567,204181,FALSE
2004,"HI","02","H0HI01116","Mike","Gabbard",0,"R",79072,212389,FALSE
2004,"HI","02","H2HI02128","Ed","Case",1,"D",133317,212389,FALSE
2004,"IA","01","H0IA02040","Jim","Nussle",1,"R",159993,290054,FALSE
2004,"IA","01","H2IA01014","Bill","Gluba",0,"D",125490,290054,FALSE
2004,"IA","02","H4IA02034","Dave","Franker",0,"D",117405,299881,FALSE
2004,"IA","02","H6IA01015","James A.","Leach",1,"R",176684,299881,FALSE
2004,"IA","03","H2IA04067","Stan","Thompson",0,"R",136099,304319,FALSE
2004,"IA","03","H6IA03144","Leonard L.","Boswell",1,"D",168007,304319,FALSE
2004,"IA","04","H4IA04105","Paul W.","Johnson",0,"D",116121,297566,FALSE
2004,"IA","04","H4IA05102","Tom","Latham",1,"R",181294,297566,FALSE
2004,"IA","05","H2IA05072","Steve","King",1,"R",168583,266341,FALSE
2004,"IA","05","H4IA05169","E. Joyce","Schulte",0,"D",97597,266341,FALSE
2004,"ID","01","H0ID01139","C.L. ""Butch""","Otter",1,"R",207662,298589,FALSE
2004,"ID","01","H4ID01073","Naomi","Preston",0,"D",90927,298589,FALSE
2004,"ID","02","H4ID02055","Lin","Whitworth",0,"D",80133,273837,FALSE
2004,"ID","02","H8ID02064","Mike","Simpson",1,"R",193704,273837,FALSE
2004,"IL","01","H0IL01111","Raymond G.","Wardingley",0,"R",37840,249949,FALSE
2004,"IL","01","H2IL01042","Bobby L.","Rush",1,"D",212109,249949,FALSE
2004,"IL","02","H6IL02124","Jesse L.","Jackson, Jr.",1,"D",207535,234525,FALSE
2004,"IL","03","H4IL03069","Ryan","Chlada",0,"R",57845,229956,FALSE
2004,"IL","03","H4IL03077","Daniel William","Lipinski",0,"D",167034,229956,FALSE
2004,"IL","04","H2IL04129","Tony","Cisneros",0,"R",15536,125142,FALSE
2004,"IL","04","H2IL08039","Luis V.","Gutierrez",1,"D",104761,125142,FALSE
2004,"IL","05","H2IL05092","Rahm","Emanuel",1,"D",158400,207930,FALSE
2004,"IL","05","H4IL05148","Bruce","Best",0,"R",49530,207930,FALSE
2004,"IL","06","H4IL06096","Christine","Cegelis",0,"D",110470,250097,FALSE
2004,"IL","06","H6IL06026","Henry J.","Hyde",1,"R",139627,250097,FALSE
2004,"IL","07","H4IL07037","Danny K.","Davis",1,"D",221133,256736,FALSE
2004,"IL","07","H4IL07136","Antonio","Davis-Fairman",0,"R",35603,256736,FALSE
2004,"IL","08","H2IL08088","Melissa","Bean",0,"D",139792,270393,FALSE
2004,"IL","08","H6IL12016","Philip","Crane",1,"R",130601,270393,FALSE
2004,"IL","09","H4IL09066","Kurt J.","Eckhardt",0,"R",56135,231417,FALSE
2004,"IL","09","H8IL09067","Janice D.","Schakowsky",1,"D",175282,231417,FALSE
2004,"IL","10","H0IL10120","Mark Steven","Kirk",1,"R",177493,276711,FALSE
2004,"IL","10","H4IL10056","Lee","Goodman",0,"D",99218,276711,FALSE
2004,"IL","11","H4IL11096","Gerald C. ""Jerry""","Weller",1,"R",173057,294960,FALSE
2004,"IL","11","H4IL11187","Tari","Renner",0,"D",121903,294960,FALSE
2004,"IL","12","H4IL20245","Erin R.","Zweigart",0,"R",82677,286435,FALSE
2004,"IL","12","H8IL21021","Jerry F.","Costello",1,"D",198962,286435,FALSE
2004,"IL","13","H4IL13159","Gloria Schor","Andersen",0,"D",107836,308312,FALSE
2004,"IL","13","H8IL13069","Judy","Biggert",1,"R",200472,308312,FALSE
2004,"IL","14","H4IL14116","Ruben","Zamora",0,"D",87590,279208,FALSE
2004,"IL","14","H6IL14095","J. Dennis","Hastert",1,"R",191618,279208,FALSE
2004,"IL","15","H0IL15053","Tim","Johnson",1,"R",178114,291739,FALSE
2004,"IL","15","H4IL15055","David","Gill",0,"D",113625,291739,FALSE
2004,"IL","16","H0IL16085","Donald A.","Manzullo",1,"R",204350,295806,FALSE
2004,"IL","16","H2IL16032","John H.","Kutsch",0,"D",91452,295806,FALSE
2004,"IL","17","H2IL19010","Lane A.","Evans",1,"D",172320,284000,FALSE
2004,"IL","17","H4IL17069","Andrea Lane","Zinga",0,"R",111680,284000,FALSE
2004,"IL","18","H4IL18059","Ray","LaHood",1,"R",216047,307595,FALSE
2004,"IL","18","H4IL18091","Steve","Waterworth",0,"D",91548,307595,FALSE
2004,"IL","19","H2IL20042","John M.","Shimkus",1,"R",213451,307754,FALSE
2004,"IL","19","H4IL19073","Tim","Bagwell",0,"D",94303,307754,FALSE
2004,"IN","01","H4IN01012","Peter J.","Visclosky",1,"D",178406,261264,FALSE
2004,"IN","01","H8IN01096","Mark J.","Leyva",0,"R",82858,261264,FALSE
2004,"IN","02","H2IN03111","Chris","Chocola",1,"R",140496,259355,FALSE
2004,"IN","02","H4IN02101","Joe","Donnelly",0,"D",115513,259355,FALSE
2004,"IN","03","H4IN00014","Maria M.","Parra",0,"D",76232,247621,FALSE
2004,"IN","03","H4IN04099","Mark Edward","Souder",1,"R",171389,247621,FALSE
2004,"IN","04","H2IN05025","Steve","Buyer",1,"R",190445,274136,FALSE
2004,"IN","04","H4IN04149","David","Sanders",0,"D",77574,274136,FALSE
2004,"IN","05","H2IN05058","Katherine Fox","Carr",0,"D",82637,318363,FALSE
