"year","name","DEM_VOTES_2016","REP_VOTES_2016","TOTAL_VOTES_2016","DEM_PRCT_2016","REP_PRCT_2016","LEAN_2016","DEM_VOTES_2020","REP_VOTES_2020","TOTAL_VOTES_2020","DEM_PRCT_2020","REP_PRCT_2020","LEAN_2020"
2008,"TX-21",170525,225145,395670,43.1,56.9,16.02,246075,279698,525773,46.8,53.2,10.94
2008,"TX-22",167902,187691,355593,47.22,52.78,7.78,239121,239026,478147,50.01,49.99,4.52000000000001
2008,"TX-23",151384,131452,282836,53.52,46.48,-4.82000000000001,204864,182379,387243,52.9,47.1,-1.26000000000001
2008,"TX-24",144160,139418,283578,50.84,49.16,0.539999999999999,206216,161549,367765,56.07,43.93,-7.59999999999999
2008,"TX-25",203338,124460,327798,62.03,37.97,-21.84,297136,160558,457694,64.92,35.08,-25.3
2008,"TX-26",147855,218217,366072,40.39,59.61,21.44,231092,276869,507961,45.49,54.51,13.56
2008,"TX-27",107860,84616,192476,56.04,43.96,-9.86,122868,118294,241162,50.95,49.05,2.64000000000001
2008,"TX-28",127287,96504,223791,56.88,43.12,-11.54,140546,154047,294593,47.71,52.29,9.12000000000001
2008,"TX-29",87804,32999,120803,72.68,27.32,-43.14,97315,50377,147692,65.89,34.11,-27.24
2008,"TX-30",171710,33993,205703,83.47,16.53,-64.72,210685,46031,256716,82.07,17.93,-59.6
2008,"TX-31",134247,193853,328100,40.92,59.08,20.38,216967,254162,471129,46.05,53.95,12.44
2008,"TX-32",114436,91592,206028,55.54,44.46,-8.86,154703,105406,260109,59.48,40.52,-14.42
2010,"TX-01",68267,197121,265388,25.72,74.28,50.78,85263,227662,312925,27.25,72.75,50.04
2010,"TX-02",119344,162074,281418,42.41,57.59,17.4,156653,189430,346083,45.26,54.74,14.02
2010,"TX-03",148558,162754,311312,47.72,52.28,6.78,221308,191332,412640,53.63,46.37,-2.72
2010,"TX-04",89206,255485,344691,25.88,74.12,50.46,140279,322906,463185,30.29,69.71,43.96
2010,"TX-05",87072,165493,252565,34.48,65.52,33.26,118142,193860,312002,37.87,62.13,28.8
2010,"TX-06",116663,174670,291333,40.04,59.96,22.14,167239,204955,372194,44.93,55.07,14.68
2010,"TX-07",152141,147354,299495,50.8,49.2,0.620000000000005,205130,172397,377527,54.34,45.66,-4.13999999999999
2010,"TX-08",73292,262809,336101,21.81,78.19,58.6,107360,328809,436169,24.61,75.39,55.32
2010,"TX-09",143254,30502,173756,82.45,17.55,-62.68,167262,50669,217931,76.75,23.25,-48.96
2010,"TX-10",191168,207543,398711,47.95,52.05,6.32,289292,269887,559179,51.74,48.26,1.06000000000001
2010,"TX-11",49972,190287,240259,20.8,79.2,60.62,61513,231738,293251,20.98,79.02,62.58
2010,"TX-12",102983,191220,294203,35,65,32.22,153175,242954,396129,38.67,61.33,27.2
2010,"TX-13",38586,180559,219145,17.61,82.39,67,51398,206638,258036,19.92,80.08,64.7
2010,"TX-14",96689,209034,305723,31.63,68.37,38.96,134490,261008,395498,34.01,65.99,36.52
2010,"TX-15",116461,78345,194806,59.78,40.22,-17.34,127215,118216,245431,51.83,48.17,0.88000000000001
2010,"TX-16",140873,53332,194205,72.54,27.46,-42.86,170451,80302,250753,67.98,32.02,-31.42
2010,"TX-17",75442,190476,265918,28.37,71.63,45.48,106435,234716,341151,31.2,68.8,42.14
